id;totalReg;anomalies;notAanomalie;meanValueAll;meanValue;stdValue;mediaValue;totalTime;dateDir;percentAnomaly;imptEngLoad;imptEngRPM;imptGndSpd;imptBaseCutPrs;imptBaseCutHght;imptChopperHydPrs;imptChopperRPM;imptAboveEngLoad;imptAboveEngRPM;imptAboveGndSpd;imptAboveBaseCutPrs;imptAboveBaseCutHght;imptAboveChopperHydPrs;imptAboveChopperRPM;anomalyAcumulate;totalAcumulate
27;1780;21;1759;0,03408681334324985;0,07522188956570354;0,005423053924943391;0,07250848939723605;2214;2024-07-01;1,2;829,6534819995326;756,2685919635478;848,4282718002306;792,4929730870939;1077,686219857484;601,2005088837292;1040,3736720048935;20,279017292449733;22,57788785892187;16,88203265778551;37,599879944251846;17,882268149454664;17,875239293849866;21,710323529504365;160914;1396550
28;46874;1602;45272;0,041026134186120604;0,18698518475549425;0,48857408316073503;0,08176744425941752;27669;2024-07-02;3,4;24921,31562849643;37065,782586955655;24109,281057082015;21727,682502622614;32661,33498120456;21245,398022377332;26728,98857760284;2249,854632801241;13929,260191703988;2191,2528759466472;2320,466556042361;2745,019183845232;2610,7236416316478;3309,3489839024683;162516;1443424
29;109092;9437;99655;0,0488298149773085;0,16003334675423864;0,3769471607410597;0,08175157192935394;60460;2024-07-03;8,7;59247,13686526364;113180,58885869972;58701,393791563474;60457,943026478446;116913,87907015072;51056,45590420903;62482,93568309203;11809,326980691381;60608,16381027653;12795,140841279788;14913,668936610107;27317,74006469778;9016,903683405562;11542,055628374246;171953;1552516
30;99734;8484;91250;0,04464352366095066;0,11623327305101895;0,19307003563663006;0,08720157924798921;60512;2024-07-04;8,5;59576,0302257593;67175,8564548046;56665,255100797105;60731,49614184086;83929,37412638821;50572,5019879347;57692,25046500379;11942,979032262963;20842,93072258256;11207,215707967776;16685,21354876623;16724,786600990465;9185,523070565478;10051,413996219306;180437;1652250
31;89224;8133;81091;0,04434362206017795;0,12585647734983174;0,16490430074836718;0,08899225778185875;58203;2024-07-05;9,1;51579,33404056066;62492,70773225343;51102,217076251305;55085,5325572412;71033,5804057812;44763,28769479346;51681,843293460406;10201,37621866772;22756,966670913378;10981,730910969707;14947,609866440453;20148,481896839912;10163,3796811728;11112,346323041713;188570;1741474
32;108878;18888;89990;0,06225860895006873;0,17412912819249488;0,3685578532519712;0,09675476588333126;64900;2024-07-06;17,3;85411,54183562503;114587,87362027292;80478,84842585147;84764,58348163379;83548,97985937312;94159,35391394144;121350,91573933158;34727,79876329253;71217,63641334698;31960,90519140172;38638,43366007225;30752,841985688578;44267,906175642886;70751,67319394033;207458;1850352
33;103003;20817;82186;0,06023736388428001;0,1274466115367719;0,20266531029328885;0,08601691398401097;70184;2024-07-07;20,2;86934,44112392276;85900,42003519964;84903,62451300421;70249,73405711433;96159,8264921874;84495,79799833393;99409,81661314546;30257,439133295178;45093,77638253248;32960,64170816072;26293,857219146183;37296,53490890157;39305,65394535377;48791,59571398705;228275;1953355
34;22013;2979;19034;0,053908723552465766;0,1404946120815208;0,19569339982822276;0,09167473962061044;22516;2024-07-08;13,5;18947,202896810817;18094,73819007875;17023,845139771474;13324,342834376768;16308,76991420666;15162,276725096419;17434,71199258127;5966,91567868337;8431,393311433156;5206,355463076007;3935,6336502072304;5350,576314756719;5536,5833766409405;6588,820245505922;231254;1975368
35;100633;22622;78011;0,05929098149958885;0,10600232184390931;0,22107973937164008;0,08170555293143493;59618;2024-07-14;22,5;95508,21135823596;89525,74776516567;74530,77133215533;65676,9128917497;105870,84785433995;65262,7514918081;88331,19068411371;35377,55860753086;45049,97022516097;27389,030480035646;24900,85452263361;39150,97000552837;26079,815420664556;37054,28416423138;253876;2076001
36;115275;18082;97193;0,05409237246690461;0,09749834173601217;0,126736054872336;0,07942196841575663;64031;2024-07-15;15,7;97908,50016439075;76595,06693642972;78153,54865653231;67963,33650799033;129421,8592632917;74333,72526636241;86702,79034500924;25183,214561663426;26612,729395439925;21609,52453333372;16413,777126004563;37463,858868657764;22533,464067744033;22954,002943673313;271958;2191276
37;110191;17138;93053;0,05235860566251558;0,111651138139238;0,16669629619724122;0,08786603821122549;62854;2024-07-16;15,6;106554,07834351965;78511,32355760378;65490,461812614165;67655,2779143229;109165,21677907431;63503,20666655947;74526,25234901598;27537,71219664063;31032,053640334136;18071,173710523974;20198,44545853008;46543,43281290192;21208,511878821697;22929,436434413787;289096;2301467
38;19529;224;19305;0,03200342363781647;0,19919281345206846;0,24276203496642226;0,1443695158343266;10910;2024-07-17;1,1;11164,676588283673;9888,973830613868;8418,56233942303;7983,672557670732;7791,678937180947;7323,556287655319;8678,375761018426;505,04450893220974;1952,795100472413;481,9102341873565;294,53114778505653;395,5225737310226;363,4566068148505;379,420468976898;289320;2320996
39;4461;1053;3408;0,0761513079071101;0,15647031171344483;0,4845774416349113;0,07537955356599951;16718;2024-07-18;23,6;2898,007623827628;8873,425731842826;3224,078995577004;3029,001299583062;8146,425711215638;2846,6348684587615;4274,102257709669;1075,7332278856863;6937,608742705016;1502,615686258826;998,7839681737008;3269,259139986812;799,3538562737353;1563,442725673457;290373;2325457
40;63082;7755;55327;0,05779255592793493;0,15802573375918885;0,45678685777703854;0,07727302410725102;47647;2024-07-19;12,3;38918,89698960217;83544,02270870273;43936,206218998734;30464,38567642512;88666,60931930042;30489,02092161355;41256,519443863384;8379,950620069198;51925,783350129765;11169,087092016358;5768,302936180366;25842,617977993057;6485,088231563725;10527,14719169382;298128;2388539
41;136076;14348;121728;0,051263056414346045;0,1328143352159355;0,3748421167143392;0,07735451656217264;72001;2024-07-21;10,5;73597,37363346113;132993,46959668823;77095,42476167128;68306,78465527753;177727,63073446363;67595,71643835778;86299,42331462578;15441,408466364057;66317,84797457277;17588,229061873793;14750,769446524504;39569,83477764872;14091,024540056593;18991,653737427638;312476;2524615
42;34044;3015;31029;0,07431913326277925;0,4528661306418265;0,9303740429044529;0,091727458164181;23744;2024-07-22;8,9;22190,049635900825;109695,5551611406;21294,294004355434;18073,083543474928;34465,11229397661;18001,518844618837;24232,202650743504;6384,313856384842;93650,77398937981;5665,4699624712575;4869,1233445746775;9324,590052075688;5138,656445757505;8775,427970096449;315491;2558659
43;105233;30233;75000;0,06371449904154156;0,10753070556365084;0,24992791417341817;0,08654919961255232;57189;2024-07-23;28,7;98251,29596395638;88051,92629758292;73146,33852969146;73390,18580528145;156096,20740893635;75244,429765123;92859,20411256929;47983,45929968347;47161,47899348559;32135,282068627388;34256,91034539624;71580,50522055934;36750,92353517183;48727,07102504902;345724;2663892
44;103509;3256;100253;0,04049043485766117;0,2417186658918909;0,7259914259688042;0,0817629310400016;60118;2024-07-25;3,1;66864,7271346221;89716,06149168896;54029,17945162882;47554,93232184864;48170,179359264126;46355,90727955229;58039,206286205525;6229,736732685383;43367,75426767793;7385,598980496583;3790,412251754842;5933,480363506499;4074,578190340722;6347,964875649784;348980;2767401
45;112115;5118;106997;0,03778527873959582;0,142698480600298;0,28453054361201635;0,09258946042252986;66198;2024-07-26;4,6;59154,0651009983;70959,67788496008;55746,22474046578;45617,726511311965;71360,4209121484;50851,078995161704;61467,865392158295;7049,376520721642;21121,386477511092;8385,71182722764;4460,054141407176;16472,930612654818;6813,377306919241;7269,583837366285;354098;2879516
46;117605;2838;114767;0,033671793377006896;0,1282990288083505;0,24794944178656889;0,08560837850151673;66217;2024-07-27;2,4;62999,80584433794;64479,850602007726;55531,36281869208;48639,06625840094;44571,74106529793;50694,71097142579;61160,64592993062;4475,1850030013475;11584,830020823118;4066,147048113359;3385,775412150431;3242,3021470756707;4401,896796831068;4526,902660298687;356936;2997121
47;106617;4473;102144;0,03634761618213387;0,10351572550209612;0,16622454946768178;0,08675924028056961;58455;2024-07-28;4,2;61076,92751681603;55234,54697589795;53012,51596439226;45823,06135490445;62091,641896952926;47177,6547655938;55360,48338552625;5009,935140537817;8094,822621176409;6489,375218872078;3838,732347960896;12254,664696375487;4807,400737088493;4881,60157473469;361409;3103738
48;120357;2018;118339;0,03398372376141253;0,20227718560216287;0,5076330102301797;0,08759866846609807;69110;2024-07-29;1,7;57684,163756591835;74416,1718197962;53322,07437059222;49225,956201716566;61457,03981944974;47780,8675251179;56951,27250046785;3025,517302426189;20449,3656459671;3614,4755006212627;2730,771065442998;4407,618627759448;2751,241399755876;3024,155791453261;363427;3224095
49;126403;6921;119482;0,047256368967115776;0,16724365480146622;0,46491956247463995;0,08512885381380406;71015;2024-07-30;5,5;86491,39525623574;109567,46963476272;70203,46364685576;66622,82199722763;119011,48629632378;61019,38123931783;72471,96897121119;10755,627889579675;50114,60837686571;10837,616069037262;7550,252292167418;17978,321347734993;7463,459172540584;8734,461670407312;370348;3350498
